ID,Level,Subsystem,Title,Parents,Handbook Ref,Document
MAST-L2-COM-10,L2,Comms,Continuous link quality display and 1 Hz onboard logging,"MAST-L1-18, MAST-L1-14",,SUB-COM_Communications.md
MAST-L2-COM-11,L2,Comms,No safety-critical function depends on link internet or cloud,"L0-SAF-06, MAST-L1-28, MAST-L2-GNC-14",,SUB-COM_Communications.md
MAST-L2-COM-12,L2,Comms,Use wired connections on the ground where possible,L0-REG-05,,SUB-COM_Communications.md
MAST-L2-COM-13,L2,Comms,No thermal shutdown or power reduction to 43.3 C,MAST-L1-12,,SUB-COM_Communications.md
MAST-L2-COM-14,L2,Comms,Antennas 150 mm from carbon and GNSS with no null deeper than 10 dB,"MAST-L2-COM-02, MAST-L2-GNC-01",,SUB-COM_Communications.md
MAST-L2-COM-15,L2,Comms,Verified alongside identical system within 50 m; video on separate band,"MAST-L2-COM-03, MAST-L2-COM-04, MAST-L2-COM-05",,SUB-COM_Communications.md
MAST-L2-PLD-01,L2,Delivery,Carry and independently release two payloads,"L0-SDD-01, MAST-L1-17",,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-02,L2,Delivery,Each complete payload under 907 g,L0-SDD-03,,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-03,L2,Delivery,Combined payload mass allocation 1400 g,"MAST-L1-01, L0-SDD-03",,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-04,L2,Delivery,Retardant giving 8-12 m/s impact with terminal velocity measured by test,"L0-SDD-05, L0-SDD-06, MAST-L1-17",,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-05,L2,Delivery,Retardant deploys in 0.5 s and reaches terminal velocity in 1.0 s,MAST-L1-17,,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-06,L2,Delivery,No means of sustaining flight in payload,L0-SDD-04,,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-07,L2,Delivery,Release from hover with ground speed under 2.0 m/s,"MAST-L1-17, MAST-L1-11",,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-08,L2,Delivery,Wind-compensated release with inhibit outside 10.0 m prediction,"MAST-L1-17, MAST-L1-28",,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-09,L2,Delivery,Release altitude between 45.7 m and 53.0 m AGL,"L0-SDD-08, L0-FLT-06",,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-10,L2,Delivery,Retention through 1.72 g hover loads transition and landing,"L0-VEH-07, L0-PEN-02, MAST-L1-22",,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-11,L2,Delivery,Fail-safe retained on power loss; isolated outputs; mechanical interlock,"L0-SAF-06, MAST-L1-16, MAST-L1-24",,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-12,L2,Delivery,Judge separates object by hand in 10 s under 30 N without instructions,L0-SDD-07,,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-13,L2,Delivery,Bottle carrier fits 50-64 mm diameter and 127-152 mm height,L0-SDD-02,,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-14,L2,Delivery,Beacon carrier fits GP908 without obstructing strobe,L0-SDD-02,,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-15,L2,Delivery,Load each payload in 45 s by one operator with aircraft in cradle,"MAST-L1-03, L0-MSN-01",,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-16,L2,Delivery,CG shift on asymmetric release preserves controllability,"MAST-L1-10, MAST-L1-11",,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-17,L2,Delivery,Release of one payload does not disturb the other,"L0-SDD-11, MAST-L1-17",,SUB-PLD_Payload_Delivery.md
MAST-L2-PLD-18,L2,Delivery,Publish predicted impact at 5 Hz; no sharp edges on handled surfaces,"MAST-L2-PLD-08, L0-SDD-06",,SUB-PLD_Payload_Delivery.md
MAST-L2-PER-01,L2,Perception,GSD 2.0 cm/px or finer at 45.7 m with distortion corrected,"MAST-L1-20, MAST-L1-19",,SUB-PER_Imaging_Perception.md
MAST-L2-PER-02,L2,Perception,Fixed nadir mount with 50 Hz vibration isolation and no gimbal,"MAST-L1-20, MAST-L1-01",,SUB-PER_Imaging_Perception.md
MAST-L2-PER-03,L2,Perception,Sustained 2.0 Hz full resolution capture without frame drops,MAST-L1-20,,SUB-PER_Imaging_Perception.md
MAST-L2-PER-04,L2,Perception,Shutter at or below 1/1000 s throughout survey,MAST-L1-20,,SUB-PER_Imaging_Perception.md
MAST-L2-PER-05,L2,Perception,Exposure consistent within 1/3 stop between adjacent frames,MAST-L1-20,,SUB-PER_Imaging_Perception.md
MAST-L2-PER-06,L2,Perception,Survey ground speed at or below 18 m/s,"MAST-L1-20, MAST-L2-PER-03",,SUB-PER_Imaging_Perception.md
MAST-L2-PER-07,L2,Perception,70 percent overlap 30 percent sidelap 15 m buffer unobstructed aperture,MAST-L1-20,,SUB-PER_Imaging_Perception.md
MAST-L2-PER-08,L2,Perception,Frames hardware-timestamped with position and attitude within 20 ms,"MAST-L1-19, MAST-L1-20",,SUB-PER_Imaging_Perception.md
MAST-L2-PER-09,L2,Perception,Orthomosaic generated onboard or onsite with no human intervention,"MAST-L1-20, MAST-L1-14, MAST-L1-28",,SUB-PER_Imaging_Perception.md
MAST-L2-PER-10,L2,Perception,Map complete within 60 s of touchdown,"MAST-L1-20, L0-MSN-02, L0-PEN-01",,SUB-PER_Imaging_Perception.md
MAST-L2-PER-11,L2,Perception,png or jpeg with team name to judge USB verified by checksum in 30 s,"L0-MAP-01, L0-MAP-02",,SUB-PER_Imaging_Perception.md
MAST-L2-PER-12,L2,Perception,Detect and classify mannequin and tent at 95 percent confidence,"MAST-L1-19, L0-SDD-10",,SUB-PER_Imaging_Perception.md
MAST-L2-PER-13,L2,Perception,Robust to any pose and 50 percent occlusion with matched training data,L0-SDD-10,,SUB-PER_Imaging_Perception.md
MAST-L2-PER-14,L2,Perception,Reject debris false positives via 3-frame association,"L0-SDD-10, MAST-L1-19",,SUB-PER_Imaging_Perception.md
MAST-L2-PER-15,L2,Perception,Geolocate targets to 5.0 m and publish class and confidence at 1 Hz,"MAST-L1-19, MAST-L1-17",,SUB-PER_Imaging_Perception.md
MAST-L2-PER-16,L2,Perception,Detection within 30 s of search pass with weights resident locally,"MAST-L1-14, MAST-L1-28, L0-MSN-01",,SUB-PER_Imaging_Perception.md
MAST-L2-PER-17,L2,Perception,Imagery retained onboard so map survives total downlink loss,"MAST-L1-18, MAST-L1-20",,SUB-PER_Imaging_Perception.md
MAST-L2-PER-18,L2,Perception,Full workload at 43.3 C with no throttling and junction temp logged,MAST-L1-12,,SUB-PER_Imaging_Perception.md
MAST-L2-PER-19,L2,Perception,No ground-based sensor substituting for airborne payload,L0-MAP-05,,SUB-PER_Imaging_Perception.md
MAST-L2-PER-20,L2,Perception,Camera and compute on avionics bus protected from transients,MAST-L1-12,,SUB-PER_Imaging_Perception.md
MAST-L2-ASW-01,L2,Software,State machine sequences full mission on one start and one land command,"MAST-L1-13, L0-END-02",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-02,L2,Software,Enforce mandated task order for laps and Search Boundary entry,"L0-MSN-04, L0-END-05, L0-SDD-09",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-03,L2,Software,Treat Search Boundary as 25 m exclusion zone during lap phase,"L0-END-05, MAST-L1-15",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-04,L2,Software,Track and report lap count with energy-based abort,"L0-END-03, MAST-L2-PWR-10",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-05,L2,Software,Plan and fly boustrophedon survey meeting overlap and buffer requirements,"MAST-L1-20, MAST-L2-PER-07",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-06,L2,Software,Incremental stitching under 60 s at touchdown with bounded memory,"MAST-L2-PER-10, L0-PEN-01, MAST-L1-20",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-07,L2,Software,In-flight detection with frame association declaring one of each target,"MAST-L1-19, MAST-L2-PER-12, MAST-L2-PER-14",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-08,L2,Software,Hover approach to compensated release point over acknowledged interface,"MAST-L1-17, MAST-L2-PLD-07, MAST-L2-PLD-08",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-09,L2,Software,Inhibit release on bad prediction stale wind or low altitude,"MAST-L2-PLD-08, L0-SDD-08, MAST-L1-17",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-10,L2,Software,Assign bottle to mannequin and beacon to tent only,"L0-SDD-10, L0-SDD-11",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-11,L2,Software,Safety-critical autonomy executes onboard or onsite,"L0-SAF-06, MAST-L1-28",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-12,L2,Software,Fault-isolated watchdogged pipelines degrading gracefully,"MAST-L1-20, MAST-L1-19, L0-PEN-03",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-13,L2,Software,Per-phase autonomous abort avoiding manual takeover,"L0-PEN-06, MAST-L1-14",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-14,L2,Software,Tunable behaviour as exportable logged parameters without rebuild,MAST-L1-27,,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-15,L2,Software,Version controlled builds with flown build and parameters archived,"MAST-L1-27, L0-ELG-03",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-16,L2,Software,Import both flight line sequences with selection in 30 s,"L0-MSN-05, MAST-L2-GNC-19",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-17,L2,Software,Curtail lap phase if projected reserve falls below 20 percent,"MAST-L1-05, MAST-L2-PWR-10",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-18,L2,Software,Defined off-nominal transitions with decision-time logging,"MAST-L2-GNC-05, MAST-L2-GNC-11, MAST-L2-ASW-09",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-ASW-19,L2,Software,Single unambiguous mission phase indication to GCS,"MAST-L1-14, MAST-L2-GCS-04",,SUB-ASW_Autonomy_Flight_Software.md
MAST-L2-GCS-01,L2,GCS,Display at least 13 in continuously viewable by judge and operator,"L0-GCS-01, L0-GCS-03",,SUB-GCS_Ground_Control_Station.md
MAST-L2-GCS-02,L2,GCS,Offline basemap showing boundaries waypoints radii position and track,"L0-GCS-01, L0-FLT-02, MAST-L1-28",,SUB-GCS_Ground_Control_Station.md
MAST-L2-GCS-03,L2,GCS,Ground speed in knots altitude in feet AGL threshold below 50 ft,"L0-GCS-02, L0-FLT-02",,SUB-GCS_Ground_Control_Station.md
MAST-L2-GCS-04,L2,GCS,Show phase laps energy link wind targets and Mission Time countdown,"MAST-L2-ASW-04, MAST-L2-PWR-10, MAST-L2-COM-10, MAST-L2-GNC-07, L0-PEN-01",,SUB-GCS_Ground_Control_Station.md
MAST-L2-GCS-05,L2,GCS,Sunlight readable at 1000 cd/m2 with hood and no compute throttling,"MAST-L1-12, L0-GCS-03",,SUB-GCS_Ground_Control_Station.md
MAST-L2-GCS-06,L2,GCS,Distinct guarded menu-free RTL and termination controls,"L0-SAF-01, L0-SAF-02, MAST-L2-GNC-10",,SUB-GCS_Ground_Control_Station.md
MAST-L2-GCS-07,L2,GCS,Failsafe commands function fully offline,"L0-SAF-06, MAST-L1-28",,SUB-GCS_Ground_Control_Station.md
MAST-L2-GCS-08,L2,GCS,90 minutes on 200 Wh self-contained power separate from aircraft packs,"L0-MSN-01, L0-MSN-03",,SUB-GCS_Ground_Control_Station.md
MAST-L2-GCS-09,L2,GCS,Inhibit all display sleep blank and dim behaviour,L0-GCS-03,,SUB-GCS_Ground_Control_Station.md
MAST-L2-GCS-10,L2,GCS,Single-action verified USB export supporting FAT32 and exFAT,"MAST-L1-20, MAST-L2-PER-11",,SUB-GCS_Ground_Control_Station.md
MAST-L2-GCS-11,L2,GCS,All equipment under 15 ft and cased for 10 minute removal,"L0-GCS-04, L0-MSN-03",,SUB-GCS_Ground_Control_Station.md
MAST-L2-GCS-12,L2,GCS,Setup within allocation with no pre-clock power; wired radio at antenna,"L0-MSN-01, MAST-L1-03, MAST-L2-COM-12",,SUB-GCS_Ground_Control_Station.md
MAST-L2-GCS-13,L2,GCS,Log all telemetry received and commands issued,"MAST-L2-GNC-16, MAST-L2-COM-10",,SUB-GCS_Ground_Control_Station.md
MAST-L2-GCS-14,L2,GCS,Present preflight checklist covering console-verifiable inspection items,"L0-SAF-07, L0-SAF-09",,SUB-GCS_Ground_Control_Station.md
MAST-L2-OPS-01,L2,Operations,Single container with located fixtures in assembly consumption order,"MAST-L1-02, L0-VEH-10",,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-02,L2,Operations,Assembly requires no tools of any kind,"L0-VEH-12, MAST-L1-03",,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-03,L2,Operations,Assembly by 2 people in 180 s ending with systems operating,"L0-VEH-11, MAST-L1-03, MAST-L1-14",,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-04,L2,Operations,Full setup to armed by 2 operators in 420 s from clock start,"L0-MSN-01, MAST-L1-03, MAST-L2-GCS-12",,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-05,L2,Operations,Rehearsed setup and teardown with standard deviation under 15 s,"MAST-L2-OPS-04, L0-PEN-01",,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-06,L2,Operations,Cradle with 1.5 tipping margin clear prop arcs and vertical departure,"MAST-L2-AIR-11, MAST-L1-24, L0-VEH-08, MAST-L1-09",,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-07,L2,Operations,Power disconnect engaged by default and verifiable outside prop arcs,"L0-VEH-08, MAST-L1-24, MAST-L2-PWR-11",,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-08,L2,Operations,Weather-resistant hands-free checklists for all phases in hard copy,"L0-SAF-09, MAST-L2-GCS-14",,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-09,L2,Operations,PPE first aid kit and fire extinguisher on site,L0-SAF-09,,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-10,L2,Operations,LiPo bags bucket and sand plus daily battery inspection log,L0-SAF-08,,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-11,L2,Operations,Hard copy registration Remote ID TRUST and battery documentation,"L0-REG-01, L0-REG-02, L0-REG-03, L0-SAF-08",,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-12,L2,Operations,Exactly 2 declared operators with no assistance in flight,"L0-OPR-01, L0-OPR-02, L0-OPR-03, MAST-L1-14",,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-13,L2,Operations,Safety Pilot TRUST certified and proficient in both flight modes,"L0-REG-03, L0-DOC-04, MAST-L2-GNC-13",,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-14,L2,Operations,Secure equipment in 5 minutes against documented go/no-go criteria,"L0-SAF-10, MAST-L1-11, MAST-L2-ASW-17",,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-15,L2,Operations,Clear flight line tent within 10 minutes using full team,"L0-MSN-03, L0-OPR-03",,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-16,L2,Operations,Configuration record with 5 percent change gate and named mass owner,"L0-ELG-03, MAST-L1-27, MAST-L1-01",,SUB-OPS_Ground_Support_Operations.md
MAST-L2-OPS-17,L2,Operations,Spares for every flight-critical replaceable component,"L0-ELG-03, L0-DOC-03",,SUB-OPS_Ground_Support_Operations.md
